_id,REGION UNIDAD PDI,enero,febrero,marzo,abril,mayo,junio,julio,agosto,septiembre,Total general
1,ANTOFAGASTA,0,0,0,0,0,0,0,39,23,62
2,ARICA Y PARINACOTA,0,0,0,0,0,0,4,0,0,4
3,ATACAMA,0,0,0,0,0,0,0,28,0,28
4,BIOBÍO,0,0,0,0,0,0,0,15,18,33
5,COQUIMBO,0,0,0,0,0,0,0,31,5,36
6,LA ARAUCANÍA,0,0,0,0,0,0,0,168,20,188
7,LIBERTADOR GRAL. BERNARDO OHIGGINS,0,0,0,0,0,0,0,4,0,4
8,LOS LAGOS,0,0,0,0,0,0,17,293,72,382
9,LOS RÍOS,0,0,0,0,0,0,0,28,45,73
10,MAULE,0,0,0,0,0,0,0,12,0,12
11,METROPOLITANA DE SANTIAGO,1,0,0,1,0,0,28,63,59,152
12,ÑUBLE,0,0,0,0,0,0,0,7,12,19
13,TARAPACÁ,0,0,0,0,0,0,0,4,7,11
14,VALPARAÍSO,0,0,0,0,0,0,0,49,6,55
15,Total general,1,0,0,1,0,0,49,741,267,1059
16,FUENTE: Sistema Integrado De Búsqueda De Información (SIBI) (datos comprende información desde el 01/01/2025 al 30/09/2025).,,,,,,,,,,
