_id,DELITOS SEGUN AGRUPACION POR MODERNIZACION,REGION AYSEN DEL GRAL CARLOS IBANEZ DEL CAMPO,REGION DE ANTOFAGASTA,REGION DE ARICA Y PARINACOTA,REGION DE ATACAMA,REGION DE COQUIMBO,REGION DE LA ARAUCANIA,REGION DE LOS LAGOS,REGION DE LOS RIOS,REGION DE MAGALLANES Y LA ANTARTICA CHILENA,REGION DE NUBLE,REGION DE TARAPACA,REGION DE VALPARAISO,REGION DEL BIO BIO,REGION DEL LIBERTADOR GRAL. BERNARDO O'HIGGINS,REGION DEL MAULE,REGION METROPOLITANA DE SANTIAGO,Total general
1,Amenazas con armas.,2,4,1,0,3,9,6,7,2,10,1,30,6,9,5,76,171
2,Amenazas y riñas.,147,688,455,310,199,1275,892,414,205,450,275,2469,1407,508,987,4922,15603
3,Consumo de alcohol y de drogas en la vía pública.,4,13,2,5,2,13,2,33,1,5,6,36,63,6,13,33,237
4,Crímenes y simples delitos contenidos en la ley Nº 17.798,12,24,11,19,43,305,44,156,5,46,27,112,153,50,91,529,1627
5,Crímenes y simples delitos contenidos en la ley Nº 20.000,192,344,418,358,638,798,617,509,204,602,503,1378,1279,816,1638,4129,14423
6,Daños,36,116,43,94,71,503,228,208,52,120,42,504,406,115,199,1038,3775
7,Delitos en contexto de violencia intrafamiliar,122,499,193,230,87,390,1162,301,133,610,341,929,791,247,946,4569,11550
8,Homicidios y femicidios,53,136,178,157,209,280,266,127,63,188,193,539,841,317,526,2507,6580
9,Hurtos.,182,346,139,302,240,1252,502,342,180,196,129,1600,992,476,922,2647,10447
10,Incivilidad,43,168,113,137,42,340,161,128,48,136,54,436,279,133,219,1483,3920
11,Lesiones graves,27,151,99,123,125,216,203,79,57,257,130,321,569,149,380,1132,4018
12,Lesiones leves.,45,222,89,59,65,367,217,97,60,69,55,711,386,111,217,1757,4527
13,Lesiones menos graves.,22,121,76,78,92,400,292,98,73,165,124,932,401,196,712,1828,5610
14,Otros desórdenes públicos.,1,1,0,0,0,4,0,1,0,0,0,7,14,1,0,9,38
15,Otros robos con fuerza.,23,136,50,127,115,476,177,243,22,164,61,397,494,266,1704,1216,5671
16,Receptación.,9,33,20,33,58,114,41,17,5,31,21,178,213,38,155,550,1516
17,Robos con violencia e intimidación,50,384,230,309,244,477,141,211,40,360,167,1131,914,773,1431,5748,12610
18,Robos de vehículos y sus accesorios.,3,54,41,30,45,100,24,56,4,29,47,239,232,104,488,913,2409
19,Robos en lugares habitados y no habitados,152,596,215,370,367,1162,458,578,166,609,146,1405,1735,1032,4650,3101,16742
20,Robos por sorpresa.,7,71,40,23,33,76,40,56,8,36,36,233,123,109,520,1242,2653
21,Violaciones y delitos sexuales,339,534,1048,476,671,2339,2560,608,497,2049,852,2557,3104,1324,2460,6795,28213
22,Total general,1471,4641,3461,3240,3349,10896,8033,4269,1825,6132,3210,16144,14402,6780,18263,46224,152340
23,FUENTE: Base Relacional para Análisis e Información (BRAIN) (datos comprende información desde el 01/01/2025 al 30/09/2025).,,,,,,,,,,,,,,,,,
